index,name,geometry
223,East 70th Street,"LINESTRING (-8233364.878400463 4978246.616066233, -8233349.460650986 4978237.708804169, -8233264.41256002 4978191.0854461705, -8233203.0309927985 4978156.926481503, -8233132.866317751 4978117.652638779, -8233128.502593712 4978115.256821896, -8233116.112734387 4978108.348641539)"
224,3rd Avenue,"LINESTRING (-8233364.878400463 4978246.616066233, -8233360.002606766 4978255.288160864, -8233318.135346278 4978330.074272714, -8233312.79201072 4978340.1134111155)"
225,East 70th Street,"LINESTRING (-8233116.112734387 4978108.348641539, -8233102.086478545 4978100.35279633, -8232865.877651031 4977968.907330743, -8232849.302178853 4977959.485890971)"
226,2nd Avenue,"LINESTRING (-8233116.112734387 4978108.348641539, -8233120.064576308 4978100.926027663, -8233132.610282922 4978077.364777819, -8233160.707322397 4978024.613065185, -8233165.371609061 4978015.8382885745)"
227,East 70th Street,"LINESTRING (-8232849.302178853 4977959.485890971, -8232835.621013434 4977951.842919984, -8232642.359245469 4977843.915989328, -8232614.117490654 4977828.26278845, -8232600.7146239625 4977820.825689593)"
228,1st Avenue,"LINESTRING (-8232849.302178853 4977959.485890971, -8232844.726947781 4977968.539879723, -8232829.665420677 4977995.452028956, -8232810.819030886 4978030.360033704, -8232802.982138735 4978044.70542256, -8232797.928233852 4978054.024057346)"
229,5th Avenue,"LINESTRING (-8234435.0928529985 4978000.4787739515, -8234439.144882463 4977993.203222822, -8234481.446288966 4977918.228616657, -8234486.611513338 4977909.012997076)"
230,East 63rd Street,"LINESTRING (-8234256.51412587 4977901.149596495, -8234268.759269856 4977907.954744667, -8234270.106235695 4977908.807225767, -8234423.72713299 4977994.1585979145, -8234435.0928529985 4978000.4787739515)"
231,Madison Avenue,"LINESTRING (-8234256.51412587 4977901.149596495, -8234251.805311408 4977909.67440489, -8234210.539176172 4977984.3549841065, -8234209.448245161 4977986.339222988, -8234205.552062984 4977993.379599755)"
232,East 63rd Street,"LINESTRING (-8234067.827588974 4977797.162230901, -8234088.087736299 4977808.273760887)"
233,Park Avenue,"LINESTRING (-8234067.827588974 4977797.162230901, -8234062.807079939 4977806.421838345, -8234021.841507329 4977880.734180423, -8234017.032505324 4977889.45004398)"
234,East 63rd Street,"LINESTRING (-8233897.6312195 4977702.406085908, -8233909.631460607 4977709.122909721, -8234053.556430255 4977789.210733737, -8234067.827588974 4977797.162230901)"
235,Lexington Avenue,"LINESTRING (-8233897.6312195 4977702.406085908, -8233902.184186674 4977694.16071332, -8233944.006919365 4977618.409434171, -8233948.370643403 4977610.267014995)"
236,East 63rd Street,"LINESTRING (-8233718.952304829 4977602.168695074, -8233734.88212396 4977611.104772611, -8233885.887013221 4977695.821545386, -8233897.6312195 4977702.406085908)"
237,3rd Avenue,"LINESTRING (-8233718.952304829 4977602.168695074, -8233713.764816558 4977611.604487714, -8233672.576604962 4977686.018231001, -8233668.1572211785 4977694.072527555)"
238,East 63rd Street,"LINESTRING (-8233469.507589858 4977463.425382072, -8233484.680436455 4977471.861624709, -8233704.358319585 4977594.070381864, -8233718.952304829 4977602.168695074)"
239,2nd Avenue,"LINESTRING (-8233469.507589858 4977463.425382072, -8233473.771126355 4977456.003258252, -8233504.094555648 4977403.3577814475, -8233517.230255561 4977380.518374731, -8233521.5605837535 4977373.008131035)"
240,1st Avenue,"LINESTRING (-8233204.032868214 4977317.188535937, -8233199.73593587 4977325.110254736, -8233159.738842827 4977400.888653823, -8233155.564361923 4977408.575285328)"
241,East 63rd Street,"LINESTRING (-8233204.032868214 4977317.188535937, -8233221.064750307 4977326.124352784, -8233263.043330284 4977349.698487764, -8233356.006237046 4977401.30017505, -8233364.555573939 4977406.047367605)"
242,Amsterdam Avenue,"LINESTRING (-8235854.783714933 4979271.225889424, -8235851.5554497 4979277.252891704, -8235849.51830302 4979280.927894921, -8235808.318959477 4979355.604259827, -8235803.9552354375 4979363.527632054)"
243,5th Avenue,"LINESTRING (-8233813.852170729 4979123.271499849, -8233818.026651635 4979115.715816712, -8233860.561829066 4979038.821638494, -8233865.159324036 4979030.50163945)"
244,East 75th Street,"LINESTRING (-8233635.98588834 4979024.709983522, -8233648.765365884 4979031.780508097, -8233804.568125198 4979118.214777413, -8233813.852170729 4979123.271499849)"
245,Madison Avenue,"LINESTRING (-8233635.98588834 4979024.709983522, -8233630.898587611 4979034.294146967, -8233590.155653981 4979111.291187862, -8233585.869853585 4979119.405458914)"
246,East 75th Street,"LINESTRING (-8233447.366143139 4978920.122676254, -8233467.737609955 4978931.26488281)"
247,Park Avenue,"LINESTRING (-8233447.366143139 4978920.122676254, -8233442.490349443 4978929.001161715, -8233400.534033364 4979005.571084047, -8233396.025593986 4979013.788164557)"
248,East 75th Street,"LINESTRING (-8233277.136377819 4978825.429133085, -8233289.10322308 4978832.117330543, -8233435.0876033055 4978913.302123368, -8233447.366143139 4978920.122676254)"
249,Lexington Avenue,"LINESTRING (-8233277.136377819 4978825.429133085, -8233281.622553297 4978817.2857076395, -8233324.068675137 4978740.290984587, -8233328.788621546 4978731.647857692)"
250,East 75th Street,"LINESTRING (-8233097.822942047 4978726.179760954, -8233113.76389313 4978734.999273335, -8233266.549894245 4978819.578801482, -8233277.136377819 4978825.429133085)"
251,3rd Avenue,"LINESTRING (-8233097.822942047 4978726.179760954, -8233093.748648687 4978733.544053243, -8233050.935172527 4978811.023800271, -8233046.29314976 4978819.4318082705)"
252,East 75th Street,"LINESTRING (-8232848.25577564 4978587.729159594, -8232863.094663762 4978595.960587549, -8233083.55178333 4978718.2569057895, -8233097.822942047 4978726.179760954)"
253,2nd Avenue,"LINESTRING (-8232848.25577564 4978587.729159594, -8232853.042513742 4978578.9685760345, -8232869.350819144 4978549.144433532, -8232886.93929869 4978517.306637206, -8232895.366184143 4978501.56416407, -8232900.152922247 4978492.833055457)"
254,East 75th Street,"LINESTRING (-8232584.595561695 4978441.4754802715, -8232596.083733146 4978447.854740807, -8232600.2470821 4978450.1624466805, -8232834.296311494 4978580.056299069, -8232838.504188246 4978582.3199392855, -8232848.25577564 4978587.729159594)"
255,1st Avenue,"LINESTRING (-8232584.595561695 4978441.4754802715, -8232580.454476638 4978448.98654553, -8232553.559687662 4978497.624875043, -8232538.242125728 4978525.346920389, -8232533.845005843 4978533.093232385)"
256,West 37th Street,"LINESTRING (-8236128.262307965 4975786.16875228, -8236143.624397694 4975794.897442096, -8236216.516400267 4975836.366172632, -8236230.6094478015 4975844.389554708, -8236234.138275659 4975846.373358985, -8236249.46696954 4975855.131492308, -8236253.374283669 4975857.350416595)"
257,6th Avenue,"LINESTRING (-8236128.262307965 4975786.16875228, -8236122.99689605 4975795.661570195, -8236082.676976484 4975868.283401895, -8236077.945898126 4975876.835826342)"
258,6th Avenue,"LINESTRING (-8236077.945898126 4975876.835826342, -8236073.303875361 4975885.05027543, -8236031.536802416 4975959.186358238, -8236026.360446092 4975968.9291598005)"
259,West 39th Street,"LINESTRING (-8236026.360446092 4975968.9291598005, -8236041.945174804 4975977.7167930715, -8236189.543687645 4976060.920495112, -8236202.913158491 4976068.63546276)"
260,6th Avenue,"LINESTRING (-8236026.360446092 4975968.9291598005, -8236022.208229086 4975976.159118371, -8235981.743594184 4976050.472234354, -8235976.94572413 4976059.274636136)"
261,West 40th Street,"LINESTRING (-8235976.94572413 4976059.274636136, -8235962.374002785 4976051.177601818, -8235923.924250664 4976029.810868338, -8235788.381638674 4975954.498648729, -8235631.254177421 4975867.195980767, -8235618.91997784 4975860.3481694115)"
262,6th Avenue,"LINESTRING (-8235976.94572413 4976059.274636136, -8235972.003138737 4976068.341559119, -8235966.370372504 4976078.731058197, -8235932.08396934 4976141.832439842, -8235927.553266064 4976150.164674166)"
263,West 41st Street,"LINESTRING (-8235927.553266064 4976150.164674166, -8235942.269702748 4976158.349962424, -8236003.295047601 4976192.281508782, -8236006.456521138 4976194.044953129, -8236016.363955819 4976199.834930979, -8236019.725804442 4976201.804112045, -8236026.471765584 4976205.580826095, -8236140.863674324 4976269.359019266, -8236146.062294544 4976272.254030079, -8236153.632019917 4976276.354072239, -8236158.563473359 4976279.028652642)"
264,6th Avenue,"LINESTRING (-8235927.553266064 4976150.164674166, -8235922.788791859 4976158.952470447, -8235902.595436229 4976196.014133028, -8235880.943795269 4976235.7798956195, -8235874.342549466 4976247.888940469)"
265,6th Avenue,"LINESTRING (-8235874.342549466 4976247.888940469, -8235865.949059859 4976262.951790264, -8235864.691149613 4976265.214893607, -8235824.337834201 4976337.9283890715, -8235819.350721015 4976346.93678825)"
266,West 42nd Street,"LINESTRING (-8235874.342549466 4976247.888940469, -8235889.849354533 4976256.559260929, -8236039.462750158 4976340.264987734, -8236074.851216282 4976360.059968639, -8236087.252207557 4976366.996304028, -8236116.061691774 4976383.117424582, -8236131.145482777 4976391.508647355)"
267,West 42nd Street,"LINESTRING (-8235874.342549466 4976247.888940469, -8235857.655757796 4976238.660201044, -8235820.430520074 4976218.071914092, -8235705.8716321 4976154.1911885375, -8235683.919428514 4976141.935306889, -8235529.797593512 4976055.747796408, -8235513.800982684 4976047.812411671)"
268,6th Avenue,"LINESTRING (-8235819.350721015 4976346.93678825, -8235814.597378756 4976355.4896316985, -8235773.008416996 4976430.657985114, -8235768.422053975 4976438.946378544)"
269,West 43rd Street,"LINESTRING (-8235819.350721015 4976346.93678825, -8235834.2341369325 4976355.239806269, -8235983.914324252 4976438.4614191605, -8236014.248885495 4976455.37622886, -8236059.466862654 4976480.594192399, -8236083.389421227 4976493.93798965, -8236087.57503408 4976496.245233974, -8236115.916976435 4976511.896300623, -8236123.531229606 4976516.128706051, -8236134.830157923 4976522.403838308)"
270,West 44th Street,"LINESTRING (-8235768.422053975 4976438.946378544, -8235753.97278407 4976430.878421018, -8235466.868685365 4976271.2988233715, -8235423.242576924 4976247.051299749, -8235409.572543454 4976239.189236827)"
271,6th Avenue,"LINESTRING (-8235768.422053975 4976438.946378544, -8235763.134378164 4976448.616179767, -8235722.714271056 4976522.447925903, -8235717.805081513 4976531.397711709)"
272,6th Avenue,"LINESTRING (-8235717.805081513 4976531.397711709, -8235713.1185309505 4976539.803757733, -8235672.408993167 4976612.387032904, -8235671.663152577 4976613.709673008, -8235666.8096227795 4976622.365622111)"
273,West 45th Street,"LINESTRING (-8235717.805081513 4976531.397711709, -8235731.809073454 4976539.2012262205, -8235803.06467951 4976578.953689742, -8235953.468443522 4976662.853227806, -8236014.037378462 4976696.595476748, -8236018.968831904 4976699.373045116, -8236021.462388499 4976700.783873795, -8236031.915288683 4976706.60354425)"
274,West 46th Street,"LINESTRING (-8235666.8096227795 4976622.365622111, -8235652.315825079 4976614.253425103, -8235558.161799767 4976561.62718021, -8235321.429770645 4976431.142944111, -8235307.136348027 4976423.545255931)"
275,6th Avenue,"LINESTRING (-8235666.8096227795 4976622.365622111, -8235661.599870609 4976631.800468408, -8235660.876293919 4976633.123111139, -8235620.333735374 4976706.574151965, -8235616.02567108 4976714.377806403)"
276,West 47th Street,"LINESTRING (-8235616.02567108 4976714.377806403, -8235631.432288606 4976722.975060034, -8235694.528175986 4976758.172442247, -8235917.890734264 4976884.72240771, -8235930.158142149 4976891.659115616)"
277,6th Avenue,"LINESTRING (-8235616.02567108 4976714.377806403, -8235610.927238402 4976723.665779885, -8235599.761893475 4976743.946512163, -8235569.8280824 4976798.32259633, -8235565.208323533 4976806.772960907)"
278,West 48th Street,"LINESTRING (-8235565.208323533 4976806.772960907, -8235550.258115918 4976798.46955913, -8235355.22636805 4976690.2320559025, -8235349.860768593 4976687.219352328, -8235333.596990989 4976678.063678387, -8235219.8062074995 4976614.488561154, -8235205.635236322 4976606.596810556)"
279,6th Avenue,"LINESTRING (-8235565.208323533 4976806.772960907, -8235560.187814498 4976815.869970247, -8235518.754700026 4976890.9536874695, -8235514.201732851 4976899.271864286)"
280,6th Avenue,"LINESTRING (-8235514.201732851 4976899.271864286, -8235494.030641119 4976935.70438647, -8235467.77037324 4976983.100670519, -8235462.415905734 4976992.771010362)"
281,West 49th Street,"LINESTRING (-8235514.201732851 4976899.271864286, -8235530.654753589 4976908.413049095, -8235567.03396318 4976928.65007548, -8235655.8112570895 4976978.000966282, -8235716.98131728 4977012.008842555, -8235776.514980956 4977045.105644807, -8235816.85716442 4977067.532760157, -8235828.501183156 4977073.999303633)"
282,West 50th Street,"LINESTRING (-8235462.415905734 4976992.771010362, -8235447.910976084 4976984.658505774, -8235422.68597947 4976968.727447527, -8235259.07972385 4976878.4323463235, -8235256.285604633 4976876.8745280085, -8235246.177794868 4976871.231112793, -8235192.243501578 4976840.721455743, -8235159.393119846 4976822.644969783, -8235119.173387823 4976800.394772011, -8235104.946756899 4976791.88562787)"
283,6th Avenue,"LINESTRING (-8235462.415905734 4976992.771010362, -8235450.994525978 4977013.728345063, -8235447.176267444 4977020.738627643, -8235412.834204535 4977083.037774985)"
284,6th Avenue,"LINESTRING (-8235412.834204535 4977083.037774985, -8235367.2711369535 4977165.736501976, -8235366.926046533 4977166.339072132, -8235364.666260868 4977170.43948954, -8235361.426863685 4977176.318227178)"
285,West 51st Street,"LINESTRING (-8235412.834204535 4977083.037774985, -8235500.988109294 4977132.653987812, -8235567.456977246 4977170.3660053415, -8235591.090105141 4977183.769532219, -8235600.363018724 4977188.913434478, -8235673.433132482 4977228.63914802, -8235713.808711792 4977250.596381984, -8235728.413828985 4977258.532743754)"
286,6th Avenue,"LINESTRING (-8235361.426863685 4977176.318227178, -8235357.697660744 4977183.7107447805, -8235356.773708971 4977184.754221871, -8235339.018250189 4977216.984491674, -8235318.791498711 4977253.682744129, -8235311.678183249 4977266.586687844)"
287,West 52nd Street,"LINESTRING (-8235361.426863685 4977176.318227178, -8235347.055517426 4977168.514203732, -8235345.508176503 4977167.6470904, -8235276.746127039 4977129.538270351, -8235268.063206759 4977124.732425081, -8235252.4450822 4977115.44407028, -8235213.50552432 4977093.69289423, -8235197.219482817 4977084.654413019, -8235050.544921747 4977003.352548209, -8235015.167587575 4976983.747319085, -8235002.8667838415 4976976.413738991)"
288,West 53rd Street,"LINESTRING (-8235311.678183249 4977266.586687844, -8235326.795370102 4977274.978669499, -8235363.942684178 4977295.583880957, -8235424.700862253 4977329.284224183, -8235450.894338436 4977343.702068984, -8235454.556749684 4977345.715571938, -8235487.0286451485 4977363.601963123, -8235499.340580829 4977370.539011082, -8235552.874123953 4977400.359555127, -8235586.971283983 4977419.304245723, -8235594.351766223 4977423.404769315, -8235614.010788295 4977434.310112838, -8235627.157620159 4977441.6146421945)"
289,6th Avenue,"LINESTRING (-8235311.678183249 4977266.586687844, -8235305.1659930395 4977278.403070389, -8235265.6809696555 4977350.065915506, -8235265.135504151 4977351.050621922, -8235261.027814941 4977358.502060245)"
290,West 54th Street,"LINESTRING (-8235261.027814941 4977358.502060245, -8235246.856843763 4977350.65379992, -8235215.79870583 4977333.428801242, -8234915.202684841 4977167.735271413, -8234901.699630607 4977159.79898341)"
291,6th Avenue,"LINESTRING (-8235261.027814941 4977358.502060245, -8235255.550895993 4977368.422623047, -8235223.023340782 4977427.461202951, -8235214.251364908 4977443.304825824, -8235208.985952993 4977452.931529449)"
292,West 55th Street,"LINESTRING (-8235208.985952993 4977452.931529449, -8235223.791445269 4977461.147303864, -8235330.379857703 4977520.436299405, -8235339.496924 4977525.595076323, -8235340.187104843 4977525.977208055, -8235351.22999833 4977532.135409951, -8235396.09175312 4977557.135691881, -8235404.919388739 4977562.132816459, -8235510.695168891 4977620.217228521, -8235524.109167533 4977628.065705422)"
293,6th Avenue,"LINESTRING (-8235208.985952993 4977452.931529449, -8235204.744680394 4977460.530018248, -8235163.122322787 4977535.118979327, -8235159.114821119 4977542.276610074)"
294,6th Avenue,"LINESTRING (-8235159.114821119 4977542.276610074, -8235153.459790986 4977552.417820728, -8235111.447815162 4977627.683569696, -8235103.789034195 4977641.411070138)"
295,West 56th Street,"LINESTRING (-8235159.114821119 4977542.276610074, -8235145.266676464 4977534.604570749, -8235109.744626952 4977514.924788615, -8235069.703006114 4977492.731803304, -8235016.937567477 4977463.484171195, -8234815.1932543125 4977350.712588365, -8234800.521345425 4977342.511603927)"
296,West 57th Street,"LINESTRING (-8235103.789034195 4977641.411070138, -8235119.373762905 4977650.097325032, -8235151.689811083 4977668.08715668, -8235294.04517591 4977747.380967999, -8235404.607694165 4977808.832277278, -8235419.9363880465 4977817.342307294)"
297,6th Avenue,"LINESTRING (-8235103.789034195 4977641.411070138, -8235095.562523826 4977656.446673594, -8235053.795450878 4977732.874341249, -8235049.153428113 4977741.36960739)"
298,West 57th Street,"LINESTRING (-8235103.789034195 4977641.411070138, -8235088.760902938 4977633.077563822, -8234985.790373952 4977575.933712029, -8234759.288606036 4977450.56527012, -8234745.162162656 4977442.746330331)"
299,West 58th Street,"LINESTRING (-8235049.153428113 4977741.36960739, -8235033.8692620285 4977732.903736621, -8234774.661827715 4977589.293702994, -8234763.151392367 4977582.885608238)"
300,6th Avenue,"LINESTRING (-8235049.153428113 4977741.36960739, -8235043.743300861 4977751.1729773255, -8235002.833387995 4977825.279129532, -8234997.812878959 4977840.667764359)"
301,Central Park South,"LINESTRING (-8234997.812878959 4977840.667764359, -8234984.510199809 4977833.289447406, -8234720.927909508 4977687.26752839, -8234707.62523036 4977679.904024911)"
302,Central Park South,"LINESTRING (-8234997.812878959 4977840.667764359, -8235012.384600304 4977848.795677735, -8235017.527560778 4977851.661760917, -8235050.778692679 4977870.210483694, -8235058.326154154 4977874.414081865, -8235092.924251894 4977893.712442142, -8235153.537714631 4977927.517734824, -8235300.112088157 4978009.268234865, -8235313.069676885 4978016.499703622)"
303,West 36th Street,"LINESTRING (-8237757.300604285 4976573.060615622, -8237743.307744292 4976565.154202562, -8237645.580363324 4976512.087346662, -8237633.580122217 4976505.547695917)"
304,11th Avenue,"LINESTRING (-8237757.300604285 4976573.060615622, -8237751.823685338 4976583.171428265, -8237725.385306274 4976631.359587537, -8237711.971307633 4976655.843202032, -8237707.396076561 4976664.1317865085)"
305,11th Avenue,"LINESTRING (-8237707.396076561 4976664.1317865085, -8237711.971307633 4976655.843202032, -8237725.385306274 4976631.359587537, -8237751.823685338 4976583.171428265, -8237757.300604285 4976573.060615622)"
306,11th Avenue,"LINESTRING (-8237707.396076561 4976664.1317865085, -8237701.919157616 4976673.992859824, -8237661.243015679 4976747.370726912, -8237656.623256811 4976755.497730671)"
307,11th Avenue,"LINESTRING (-8237656.623256811 4976755.497730671, -8237651.625011674 4976765.03557915, -8237612.251307782 4976836.679962076, -8237607.086083409 4976846.291371574)"
308,West 38th Street,"LINESTRING (-8237656.623256811 4976755.497730671, -8237643.164730375 4976747.5764737595, -8237567.578796126 4976703.429178117, -8237520.134429149 4976676.358931056, -8237481.027892034 4976654.770389308, -8237444.170008632 4976633.666864314, -8237360.580202996 4976587.492040348, -8237343.22549438 4976580.114669852)"
309,11th Avenue,"LINESTRING (-8237656.623256811 4976755.497730671, -8237661.243015679 4976747.370726912, -8237701.919157616 4976673.992859824, -8237707.396076561 4976664.1317865085)"
310,West 40th Street,"LINESTRING (-8237564.328266994 4976940.43665628, -8237547.407704394 4976932.529945893)"
311,11th Avenue,"LINESTRING (-8237564.328266994 4976940.43665628, -8237571.664221437 4976927.841769338, -8237602.154629967 4976870.790221117, -8237604.52573512 4976857.666354663, -8237607.086083409 4976846.291371574)"
312,11th Avenue,"LINESTRING (-8237513.154697077 4977031.423072198, -8237517.8969073845 4977022.987209914, -8237558.116639408 4976951.06222697, -8237564.328266994 4976940.43665628)"
313,West 42nd Street,"LINESTRING (-8237458.340979812 4977131.6693034135, -8237446.630169378 4977124.717728309)"
314,11th Avenue,"LINESTRING (-8237458.340979812 4977131.6693034135, -8237467.636157291 4977115.179528658, -8237507.744569824 4977041.3579994915, -8237513.154697077 4977031.423072198)"
315,West 42nd Street,"LINESTRING (-8237458.340979812 4977131.6693034135, -8237469.96273465 4977138.562096296, -8237519.856130422 4977166.045135465, -8237618.496331214 4977220.379478405, -8237681.046753091 4977254.814410494, -8237714.6318434635 4977271.113360065, -8237744.888481061 4977287.250669662, -8237757.723618349 4977295.363425541)"
316,11th Avenue,"LINESTRING (-8237398.3843020685 4977225.464612252, -8237402.948401192 4977216.940400946)"
317,West 43rd Street,"LINESTRING (-8237398.3843020685 4977225.464612252, -8237415.282600772 4977234.914737964, -8237661.977724318 4977372.964039602, -8237673.866645936 4977379.607151118)"
318,West 44th Street,"LINESTRING (-8237346.6096069 4977316.674138836, -8237333.529566734 4977309.443188148, -8237332.394107927 4977308.796518022, -8237133.45504593 4977197.9667090345, -8237092.734376198 4977175.054298286, -8237090.474590534 4977173.79036956, -8237048.618461996 4977150.510595269, -8237032.944677693 4977141.810087805)"
319,11th Avenue,"LINESTRING (-8237346.6096069 4977316.674138836, -8237351.919546613 4977307.429692669, -8237353.366699992 4977304.975286334, -8237392.985306766 4977234.503223745, -8237398.3843020685 4977225.464612252)"
320,West 45th Street,"LINESTRING (-8237296.115085877 4977408.575285328, -8237309.974362481 4977416.335408927, -8237314.193371182 4977418.672265538, -8237380.283752865 4977455.092027596, -8237439.194027394 4977488.557764018, -8237509.414362186 4977528.740314869, -8237515.581461976 4977532.326475941, -8237526.8581263935 4977538.073154831)"
321,11th Avenue,"LINESTRING (-8237296.115085877 4977408.575285328, -8237300.155983393 4977401.226689114, -8237341.477778376 4977326.006776192, -8237346.6096069 4977316.674138836)"
322,11th Avenue,"LINESTRING (-8237245.66509265 4977500.712453806, -8237249.472219235 4977493.745918752, -8237290.8830698095 4977418.113771454, -8237296.115085877 4977408.575285328)"
323,West 46th Street,"LINESTRING (-8237245.66509265 4977500.712453806, -8237233.497872307 4977494.201535872, -8237168.186727057 4977459.163171665, -8237022.191214881 4977377.990464269, -8236993.237015327 4977361.926490413, -8236945.258314794 4977335.192451588, -8236930.6420656545 4977327.0355714075)"
324,West 47th Street,"LINESTRING (-8237194.981328492 4977592.674121646, -8237212.658863629 4977602.932964543, -8237404.851964483 4977709.975373466, -8237410.529258514 4977713.135369036, -8237423.89872936 4977720.8075485835)"
325,11th Avenue,"LINESTRING (-8237194.981328492 4977592.674121646, -8237199.434108122 4977584.502328995, -8237240.321757092 4977510.398003412, -8237245.66509265 4977500.712453806)"
326,West 48th Street,"LINESTRING (-8237143.785494676 4977684.680748092, -8237132.041288397 4977678.11091712, -8237089.550638761 4977654.315526046, -8236922.515742827 4977560.751258232, -8236844.324932491 4977517.9230501, -8236829.764343097 4977509.677833232)"
327,11th Avenue,"LINESTRING (-8237143.785494676 4977684.680748092, -8237148.271670154 4977676.62645928, -8237189.971951406 4977601.68367794, -8237194.981328492 4977592.674121646)"
328,West 49th Street,"LINESTRING (-8237093.06833467 4977777.481919791, -8237110.690210063 4977787.402908113, -8237146.2233915245 4977807.641755536, -8237273.806659922 4977877.970974039, -8237309.707195703 4977897.504508278, -8237322.497805196 4977904.603612794)"
329,11th Avenue,"LINESTRING (-8237093.06833467 4977777.481919791, -8237097.498850404 4977769.368763496, -8237115.632795454 4977736.0490419185, -8237138.854041234 4977693.36704146, -8237143.785494676 4977684.680748092)"
330,West 50th Street,"LINESTRING (-8237041.872500854 4977869.813640605, -8237029.148683057 4977862.905633832, -8236956.7576181935 4977823.588879812, -8236822.795742973 4977747.410363414, -8236743.536265528 4977703.376130199, -8236727.851349275 4977694.660432673)"
331,11th Avenue,"LINESTRING (-8237041.872500854 4977869.813640605, -8237046.6258431105 4977861.244773358, -8237088.35952021 4977785.786153773, -8237093.06833467 4977777.481919791)"
332,11th Avenue,"LINESTRING (-8236991.812125843 4977960.911599682, -8236995.875287259 4977953.5184938805, -8237004.547075591 4977937.732835414, -8237037.241610037 4977878.235536319, -8237041.872500854 4977869.813640605)"
333,West 51st Street,"LINESTRING (-8236991.812125843 4977960.911599682, -8237004.69179093 4977968.157730677, -8237009.7568277605 4977971.009150841, -8237114.708843681 4978030.080769171, -8237145.755849663 4978047.351090837, -8237169.25539417 4978060.491253906, -8237188.213103451 4978070.70649356, -8237207.5715629 4978081.3773884075, -8237221.597818741 4978088.82938387)"
334,11th Avenue,"LINESTRING (-8236939.6032846635 4978053.979962839, -8236944.5458700545 4978045.131669068, -8236986.613505624 4977970.156664312, -8236991.812125843 4977960.911599682)"
335,West 52nd Street,"LINESTRING (-8236939.6032846635 4978053.979962839, -8236926.723619579 4978046.939542391, -8236743.14664731 4977945.846131551, -8236697.149433714 4977920.359821783, -8236640.031402989 4977888.39179369, -8236624.29082699 4977879.587743638)"
336,11th Avenue,"LINESTRING (-8236889.531777704 4978145.256019233, -8236894.440967247 4978136.922083047, -8236935.28408842 4978061.711202829, -8236939.6032846635 4978053.979962839)"
337,West 54th Street,"LINESTRING (-8236839.259895662 4978236.091975293, -8236827.014751674 4978229.507074998, -8236695.936051266 4978156.750101617, -8236539.688013988 4978070.015678456, -8236524.938181457 4978061.593617383)"
338,11th Avenue,"LINESTRING (-8236839.259895662 4978236.091975293, -8236844.002105969 4978228.037231788, -8236884.399949178 4978154.236688584, -8236889.531777704 4978145.256019233)"
339,11th Avenue,"LINESTRING (-8236787.563124136 4978331.191365203, -8236791.1698756395 4978324.5329079125, -8236792.639292918 4978321.813671692, -8236833.192983413 4978246.821844659, -8236839.259895662 4978236.091975293)"
340,West 55th Street,"LINESTRING (-8236787.563124136 4978331.191365203, -8236806.097819354 4978341.495079583, -8236839.248763713 4978359.941842174, -8236879.513023533 4978382.136797924, -8236932.701476234 4978412.151513669, -8236940.83893101 4978416.561127083, -8237004.124061526 4978450.853288673, -8237012.07227317 4978455.204124469)"
341,West 56th Street,"LINESTRING (-8236738.8051871685 4978421.823268362, -8236725.658355307 4978414.679691782, -8236647.356225481 4978372.009424442, -8236525.160820439 4978303.940224356, -8236496.629634949 4978288.051109903, -8236438.120110588 4978255.464542529, -8236423.247826617 4978247.189306148)"
342,11th Avenue,"LINESTRING (-8236738.8051871685 4978421.823268362, -8236743.057591718 4978414.003551061, -8236764.186031071 4978375.140236893, -8236783.544490519 4978338.746441444, -8236787.563124136 4978331.191365203)"
343,West 57th Street,"LINESTRING (-8236684.214108886 4978522.260156409, -8236700.878636656 4978531.329365735, -8236760.545883721 4978564.490112039, -8236799.786004227 4978586.141670714, -8236891.2572298115 4978636.544568581, -8236926.077966531 4978656.050221785)"
344,11th Avenue,"LINESTRING (-8236684.214108886 4978522.260156409, -8236676.7445710525 4978535.988914156, -8236659.423258285 4978567.856169267, -8236635.055421751 4978612.673347434, -8236630.691697711 4978620.713709124)"
345,West 57th Street,"LINESTRING (-8236684.214108886 4978522.260156409, -8236669.775970928 4978513.999392846, -8236616.008656875 4978483.866773588, -8236566.3824278815 4978456.321231269, -8236383.217337729 4978353.959501804, -8236368.93504706 4978345.96345553)"
346,11th Avenue,"LINESTRING (-8236684.214108886 4978522.260156409, -8236692.01760519 4978507.914066148, -8236695.858127622 4978500.843920809, -8236733.205816782 4978432.127078352, -8236738.8051871685 4978421.823268362)"
347,West 58th Street,"LINESTRING (-8236630.691697711 4978620.713709124, -8236645.964731849 4978629.239145568, -8236746.4083083905 4978685.286725954, -8236800.442789222 4978715.434665799, -8236930.185655742 4978787.828319225, -8236936.664450105 4978791.444341164)"
348,West 58th Street,"LINESTRING (-8236630.691697711 4978620.713709124, -8236615.964129078 4978612.511658327, -8236329.193988847 4978453.293284183, -8236311.894939977 4978443.768485884)"
349,11th Avenue,"LINESTRING (-8236630.691697711 4978620.713709124, -8236626.2166541815 4978630.165184802, -8236619.036547027 4978643.188539524, -8236607.403660238 4978664.399300021, -8236588.089728584 4978698.751128349, -8236584.549768777 4978704.4249978, -8236579.306620762 4978712.81821487)"
